Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2020","2020","kg/ha","457.9","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01929.06","Agave fibres, raw, n.e.c.","2020","2020","t","6181.83","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2021","2021","kg/ha","457.7","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01929.06","Agave fibres, raw, n.e.c.","2021","2021","t","6138.45","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2022","2022","kg/ha","455.1","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01929.06","Agave fibres, raw, n.e.c.","2022","2022","t","6091.53","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01929.06","Agave fibres, raw, n.e.c.","2023","2023","kg/ha","456.9","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01929.06","Agave fibres, raw, n.e.c.","2023","2023","t","6137.27","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","1427.4","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01371","Almonds, in shell","2020","2020","t","47.63","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","1427.3","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01371","Almonds, in shell","2021","2021","t","47.71","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","1427","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01371","Almonds, in shell","2022","2022","t","47.79","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","1427.2","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5510","Production","01371","Almonds, in shell","2023","2023","t","47.71","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","kg/ha","15813.2","A","Official figure",""
