Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","7021","Annual value","LCU","27139.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","7021","Annual value","LCU","29131.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","7021","Annual value","LCU","43028.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","7021","Annual value","LCU","42522.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01341","Apples","2020","2020","7021","Annual value","LCU","9109.8","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01341","Apples","2021","2021","7021","Annual value","LCU","12595.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01341","Apples","2022","2022","7021","Annual value","LCU","10967.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01341","Apples","2023","2023","7021","Annual value","LCU","12497.3","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01343","Apricots","2020","2020","7021","Annual value","LCU","7082.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01343","Apricots","2021","2021","7021","Annual value","LCU","7535.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01343","Apricots","2022","2022","7021","Annual value","LCU","7970.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01343","Apricots","2023","2023","7021","Annual value","LCU","9539.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01216","Artichokes","2020","2020","7021","Annual value","LCU","11691.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01216","Artichokes","2021","2021","7021","Annual value","LCU","11986.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01216","Artichokes","2022","2022","7021","Annual value","LCU","13401","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01216","Artichokes","2023","2023","7021","Annual value","LCU","14402.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01211","Asparagus","2020","2020","7021","Annual value","LCU","39723.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01211","Asparagus","2021","2021","7021","Annual value","LCU","41077.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01211","Asparagus","2022","2022","7021","Annual value","LCU","48264.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01211","Asparagus","2023","2023","7021","Annual value","LCU","44826.8","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01311","Avocados","2020","2020","7021","Annual value","LCU","20623.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01311","Avocados","2021","2021","7021","Annual value","LCU","20687.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01311","Avocados","2022","2022","7021","Annual value","LCU","24972.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01311","Avocados","2023","2023","7021","Annual value","LCU","20211.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312","Bananas","2020","2020","7021","Annual value","LCU","3390.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312","Bananas","2021","2021","7021","Annual value","LCU","3251","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312","Bananas","2022","2022","7021","Annual value","LCU","3710.7","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312","Bananas","2023","2023","7021","Annual value","LCU","4257.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312.01","Bananas cavendish","2020","2020","7021","Annual value","LCU","4587","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312.01","Bananas cavendish","2021","2021","7021","Annual value","LCU","4526","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312.01","Bananas cavendish","2022","2022","7021","Annual value","LCU","5002","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01312.01","Bananas cavendish","2023","2023","7021","Annual value","LCU","5215","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","0115","Barley","2020","2020","7021","Annual value","LCU","4509.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","0115","Barley","2021","2021","7021","Annual value","LCU","4755.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","0115","Barley","2022","2022","7021","Annual value","LCU","6230.7","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","0115","Barley","2023","2023","7021","Annual value","LCU","6001.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01701","Beans, dry","2020","2020","7021","Annual value","LCU","16009.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01701","Beans, dry","2021","2021","7021","Annual value","LCU","15917.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01701","Beans, dry","2022","2022","7021","Annual value","LCU","17593.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01701","Beans, dry","2023","2023","7021","Annual value","LCU","19303.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","02960.01","Beeswax","2020","2020","7021","Annual value","LCU","74491","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","02960.01","Beeswax","2021","2021","7021","Annual value","LCU","75728.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","02960.01","Beeswax","2022","2022","7021","Annual value","LCU","77480.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","02960.01","Beeswax","2023","2023","7021","Annual value","LCU","76803","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01355.01","Blueberries","2020","2020","7021","Annual value","LCU","54913.7","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01355.01","Blueberries","2021","2021","7021","Annual value","LCU","56153","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01355.01","Blueberries","2022","2022","7021","Annual value","LCU","69015.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01355.01","Blueberries","2023","2023","7021","Annual value","LCU","65076.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01702","Broad beans and horse beans, dry","2020","2020","7021","Annual value","LCU","12438.8","A","Official figure"
